DTXSID,true_cas,true_chemname,status,ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL.L_OPERA_PRED
DTXSID1020514,1643-20-5,"N,N-Dimethyldodecylamine-N-oxide",uc,2.83807e-11,1359.71,5.67381,244.245,4.71482e-5,3.36237,6.35443,3309.02,5.02585,132.245,0.0127486,7.10103e-6
DTXSID1020560,115-29-7,Endosulfan,nbc,7.29792e-12,3.9244,15.8443,364.832,2.41726e-5,5.4492,8.81202,12875,3.82812,106.051,1.72899e-7,1.01471e-6
DTXSID1020562,13838-16-9,Enflurane,uc,1.19054e-14,18.2712,4.4429,56.4258,0.0448147,3.14389,2.28338,312.322,2.0994,10.8285,404.729,0.0304113
DTXSID1020566,106-89-8,Epichlorohydrin,uc,4.4565e-13,9.75404,4.11432,116.413,6.91706e-5,0.0878693,2.83005,9.99986,0.451574,-41.6797,16.5413,0.71112
DTXSID1020643,39148-24-8,Fosetyl-Al,uc,3.12853e-11,4.2458,3.67963,183.993,1.50328e-7,0.0882613,5.91423,6.70048,-2.82419,87.7138,0.0386096,1.03921
DTXSID1020647,98-01-1,Furfural,nbc,3.51005e-11,5.82003,4.46415,153.401,1.9557e-7,0.195025,3.53218,20.9719,0.411074,-37.5329,2.21277,0.795421
DTXSID1020770,143-50-0,Kepone,nbc,1.55265e-12,1547.74,914.494,372.926,4.14781e-4,7.79445,11.6824,15867,5.41094,252.784,2.24087e-7,5.66402e-6
DTXSID1020778,5989-27-5,D-Limonene,nbc,1.71014e-10,247.895,2.93262,175.173,0.022543,4.07303,4.3111,2297,4.51408,-85.0459,1.5412,9.09154e-5
DTXSID1020803,71125-38-7,Meloxicam,uc,1.77985e-11,1.31447,3.36104,370.149,9.74169e-11,0.4857,10.4188,42.6217,3.4266,179.201,1.80331e-10,8.33215e-4
DTXSID1020805,89-78-1,dl-Menthol,uc,2.47318e-11,10.914,3.49277,212.064,1.66489e-5,0.0647259,6.6021,319.834,3.34258,39.2218,0.00554997,0.0016845
DTXSID1020807,149-30-4,2-Mercaptobenzothiazole,nbc,2.6243e-11,7.96072,12.9691,289.391,8.6846e-6,0.110826,5.72849,178.154,2.41807,180.906,4.30797e-6,6.7306e-4
DTXSID1020855,298-00-0,Methyl parathion,nbc,1.25387e-11,84.94,4.99917,345.879,1.00755e-7,3.53404,8.20928,998.772,2.86214,35.3983,3.52669e-6,1.73298e-4
DTXSID1020930,54-11-5,Nicotine,uc,4.31527e-11,5.20978,3.36233,247.052,2.75966e-5,5.7146,5.80568,102.389,1.17111,-78.6654,0.0375479,6.15336
DTXSID1020932,59-67-6,Nicotinic acid,uc,1.55697e-11,4.12211,3.55028,255.833,9.18176e-9,0.262795,5.99479,76.025,0.357954,236.735,7.79549e-4,0.141828
DTXSID1020934,2229872,Nigrosine,uc,1.99339e-11,5.20372,3.55347,304.971,2.63937e-10,0.371858,9.46328,1493.6,2.123,183.189,2.85286e-10,0.41665
DTXSID1021089,14698-29-4,Oxolinic acid,uc,1.85973e-11,3.35103,3.35251,331.048,1.48803e-9,1.00069,10.6767,811.481,0.942494,168.222,5.16594e-8,1.24712e-5
DTXSID1021160,6607,Picloram,nbc,8.14808e-12,2.72427,4.09513,296.149,6.89915e-10,0.29306,8.1492,19.9741,1.89926,218.488,7.23316e-11,0.00178706
DTXSID1021162,92-13-7,Pilocarpine,uc,1.16253e-11,3.38884,4.6502,282.434,5.37288e-9,0.589811,7.38437,98.5138,0.120625,33.9474,3.25227e-6,0.460708
DTXSID1021166,51-03-6,Piperonyl butoxide,nbc,1.67071e-11,126.718,4.73111,324.413,2.24443e-6,4.19104,10.9118,10456.6,4.74542,34.3548,8.62437e-8,4.24338e-5
DTXSID1021241,79-81-2,Retinol palmitate,uc,7.50114e-11,47.2371,12.8479,459.827,3.06131e-7,1.68863,11.6767,20499.1,10.2198,28.5099,2.01139e-8,3.64824e-7
DTXSID1021247,569-61-9,C.I. Basic Red 9 monohydrochloride,bc,2.39304e-11,18.6169,58.7646,361.096,2.32333e-10,0.818544,9.27433,960.434,-0.848729,195.072,4.94448e-9,0.0104899
DTXSID1021322,97-77-8,Tetraethylthiuram disulfide,nbc,2.7398e-11,45.2217,63.6168,336.734,4.17988e-8,3.62485,9.44716,1091.79,3.87676,71.5677,1.40829e-5,1.16566e-4
DTXSID1021324,811-97-2,"1,1,1,2-Tetrafluoroethane",uc,4.91175e-15,13.8417,7.57442,-25.951,0.0499884,0.142748,0.0363783,40.0016,0.8297,-101.034,4948.47,0.00119611
DTXSID1021328,109-99-9,Tetrahydrofuran,uc,1.59241e-11,3.3034,6.19179,64.8892,7.10901e-5,0.188118,2.86767,12.0189,0.466223,-108.234,162.519,5.27551
DTXSID1021378,76-03-9,Trichloroacetic acid,uc,1.352e-13,1.70167,5.31685,196.518,1.34786e-8,0.129726,4.76227,2.00646,1.33069,57.4644,0.0605751,0.419421
DTXSID1021407,55-63-0,Trinitroglycerin,uc,3.90562e-13,8.55708,4.45739,249.971,1.7686e-6,1.09613,4.81618,299.204,1.61885,13.543,4.0034e-4,0.00604548
DTXSID1021453,5567-15-7,C.I. Pigment Yellow 83,uc,8.81298e-11,63.4703,12.1434,423.784,1.06345e-8,1.32144,9.79418,102430,4.72791,165.807,2.28741e-7,2.75145e-8
DTXSID1021455,1934-21-0,C.I. Acid Yellow 23,uc,1.3526e-11,2.51451,5.69224,290.056,3.09763e-11,0.308902,9.36146,45.2121,0.385801,212.592,1.49186e-9,0.0021599
DTXSID1021611,54549-72-3,1-[4-(1-Hydroxy-1-methylethyl)phenyl]ethanone,uc,1.66377e-11,16.3781,3.5464,268.185,1.89665e-8,0.160321,8.39934,99.2059,2.01595,81.7429,7.63582e-6,0.0176937
DTXSID1021619,590-86-3,3-Methylbutanal,uc,2.74031e-11,7.00496,3.67298,92.5394,1.15464e-4,0.197317,2.81587,18.1623,1.06983,-17.1944,49.7018,0.161962
DTXSID1021665,124-25-4,Tetradecanal,uc,2.34192e-11,1477.17,6.70757,260.029,3.28371e-5,6.43303,7.56989,3225.46,6.35043,20.8157,0.00932934,5.46098e-5
DTXSID1021740,71-36-3,1-Butanol,uc,8.60087e-12,4.82036,4.43732,117.709,8.83859e-6,0.0749334,4.17812,3.22078,0.879541,-89.8968,6.71678,0.950064
DTXSID1021744,71-73-8,Thiopental sodium,uc,9.10907e-12,6.39013,4.95974,299.454,5.15011e-9,1.02231,9.57378,117.558,1.53117,192.893,1.43093e-8,4.39338e-4
DTXSID1021792,90-02-8,Salicylaldehyde,uc,2.75002e-11,5.77004,4.07153,197.174,1.46657e-7,0.26315499999999997,5.96689,29.5476,1.80918,-6.61348,0.573403,0.137537
DTXSID1021798,91-22-5,Quinoline,uc,1.16677e-11,3.81323,13.7434,237.234,8.66445e-6,0.0472569,5.20741,1254.8,2.03132,-12.609,0.0595784,0.0479786
DTXSID1021821,96-29-7,2-Butanone oxime,uc,6.33134e-12,5.01567,4.27353,152.499,8.54569e-7,0.0468451,3.86416,27.1042,0.627864,-29.2309,1.13624,1.13886
DTXSID1021827,98-82-8,Cumene,uc,6.53573e-12,35.7321,14.9574,152.541,0.0113666,0.367084,3.99095,521.484,3.66274,-94.0779,4.46709,5.21787e-4
DTXSID1021904,109-73-9,Butylamine,uc,9.36077e-12,4.7418,3.94347,77.8286,1.74122e-5,0.084583,3.65174,74.1713,0.969408,-50.3995,93.1059,13.663
DTXSID1021952,115-86-6,Triphenyl phosphate,uc,2.12102e-11,189.984,6.10807,403.986,1.86108e-6,0.173897,10.7977,21731.8,4.58923,50.5009,6.28174e-6,5.85634e-6
DTXSID1021956,117-84-0,Di-n-octyl phthalate,uc,1.90576e-11,124.532,5.74934,397.481,2.63303e-7,2.64797,11.7398,23938.8,8.09715,-5.96867,1.00716e-7,5.51855e-8
DTXSID1022001,141-78-6,Ethyl acetate,uc,1.60344e-12,3.23156,4.12611,78.4376,1.348e-4,0.180171,2.69862,18.1744,0.731494,-83.9003,93.1568,0.91182
DTXSID1022007,142-96-1,Butyl ether,uc,2.86996e-11,72.1457,3.81263,141.911,0.00597712,0.563957,3.90325,47.2691,3.21304,-94.956,6.0316,0.00525863
DTXSID1022053,534-52-1,"2-Methyl-4,6-dinitrophenol",uc,1.57102e-12,2.88959,4.5758,377.949,1.38385e-6,0.104662,7.71437,256.986,2.13076,86.7071,1.20184e-4,0.00807256
DTXSID1022055,540-88-5,tert-Butyl acetate,uc,4.57175e-13,3.05923,4.59147,97.6626,3.09267e-4,0.118757,3.08957,27.0784,1.75839,-92.4102,46.8232,0.0714819
DTXSID1022057,542-75-6,"1,3-Dichloropropene",uc,1.12093e-11,7.94442,5.37147,109.076,0.0023686,0.0860193,3.10178,46.2635,2.03987,-49.8496,31.1066,0.0179152
DTXSID1022265,15972-60-8,Alachlor,nbc,1.37941e-11,13.2282,4.32015,298.495,8.33696e-9,0.0795857,9.72039,190.919,3.51767,39.5205,1.38363e-5,7.6453e-4
DTXSID1022267,16752-77-5,Methomyl,nbc,1.11802e-11,3.54426,3.54663,230.042,1.98462e-8,0.113843,6.47551,20.1143,0.600496,78.0482,5.45296e-6,0.346095
DTXSID1022398,480-16-0,Morin,uc,1.38617e-11,2.08631,44.3571,381.012,1.75956e-11,0.132564,9.4064,373.777,1.53994,303.463,4.45129e-9,8.30665e-4
DTXSID1022421,73-31-4,Melatonin,uc,1.24725e-10,3.26493,3.351,323.536,2.78069e-10,1.19898,8.40112,83.7673,0.611809,116.947,4.4354e-8,0.0569454
DTXSID1022556,59277-89-3,Acyclovir,uc,9.30073e-12,1.58416,4.48762,307.733,1.01152e-10,0.313167,8.53686,34.5049,-1.55921,255.004,3.22696e-10,0.0071856
DTXSID1022558,58-61-7,Adenosine,uc,1.42284e-11,1.76727,3.5292,336.676,1.26868e-9,0.299168,9.397,57.3251,-1.04782,246.346,9.73732e-9,0.0185624
DTXSID1022685,61-75-6,Bretylium tosylate,uc,2.12999e-11,40.9171,5.2316,260.563,5.74524e-4,4.7387,5.96154,913.526,0.815862,150.875,0.124939,0.026435
DTXSID1022714,42408-82-2,Butorphanol,uc,2.29408e-11,16.3567,125.136,390.1,1.16151e-9,0.577859,9.3933,39227.4,4.0426,215.977,1.50761e-9,7.30572e-5
DTXSID1022762,69712-56-7,Cefotetan,uc,2.87335e-11,3.24371,147.765,304.671,5.79854e-12,0.36595,9.5212,53.2212,-0.243751,180.735,1.24201e-9,0.00205298
DTXSID1022976,513-10-0,Echothiophate iodide,uc,1.80424e-11,1.00303,8.95925,259.38,1.05192e-6,0.184163,8.41422,118.88,-1.58291,138.022,0.00314464,0.0293728
DTXSID1022978,116-38-1,Edrophonium chloride,uc,2.14797e-11,6.1378,4.89785,268.327,3.40444e-6,0.212073,7.43127,2148.74,-0.905473,199.9,0.0160152,0.0237565
DTXSID1023100,56-85-9,L-Glutamine,uc,4.34987e-12,3.19064,3.54478,263.374,4.68522e-10,0.0937281,8.123,59.6249,-3.64014,230.609,3.32595e-9,0.282563
DTXSID1023158,60166-93-0,Iopamidol,uc,1.77186e-11,5.45118,94.6741,360.371,1.71986e-11,0.143507,9.58058,76.1604,-2.42045,187.699,1.0967e-9,0.179953
DTXSID1023235,69-65-8,D-Mannitol,nbc,3.85227e-11,1.66916,6.65126,313.825,9.16758e-11,0.0808937,8.46054,61.7277,-2.38029,158.272,8.87788e-11,3.30821
DTXSID1023281,554-57-4,Methazolamide,uc,3.63236e-12,1.72675,4.91208,292.521,2.9739e-10,0.0899491,7.7483,43.1662,0.129678,213.526,1.06071e-6,0.0148235
DTXSID1023524,469-62-5,Propoxyphene,uc,2.40472e-11,197.963,4.26985,354.582,3.85051e-8,1.04327,10.5781,1633.73,4.17871,75.891,5.18461e-7,1.03447e-5
DTXSID1023572,552-94-3,Salsalate,uc,1.0239e-11,3.15759,5.2544,316.277,8.87309e-9,0.121704,8.9818,194.537,2.87754,147.122,2.64363e-10,2.56106e-4
DTXSID1023576,81-27-6,Sennoside A,uc,4.50936e-11,2.82931,255.632,372.102,1.97003e-11,0.231619,9.61989,67435.3,1.13217,218.967,2.24083e-9,0.0745899
DTXSID1023605,68373-14-8,Sulbactam,uc,9.53483e-12,6.11475,3.52711,328.935,1.77182e-10,0.10075,8.97287,48.9481,0.245506,126.244,2.10201e-6,0.105278
DTXSID1023607,122-11-2,Sulfadimethoxine,uc,1.39443e-11,1.77078,4.28747,303.206,1.05472e-11,0.397399,9.32517,52.5961,1.62719,203.437,4.37067e-9,0.00110922
DTXSID1023730,60-18-4,L-Tyrosine,uc,1.40207e-11,4.15502,4.62638,277.847,3.85192e-9,0.61304,8.31772,31.8845,-2.25116,275.89,7.03721e-8,0.00258652
DTXSID1023732,124832-26-4,Valacyclovir,uc,1.77108e-11,1.63048,4.88687,314.116,1.34468e-11,0.630468,9.28471,56.2636,0.586686,235.426,2.23663e-8,5.63107e-4
DTXSID1023784,554-13-2,Lithium carbonate,uc,2.50079e-14,4.92728,7.57763,299.147,3.7792e-9,0.142856,6.36654,3.85959,-0.104857,110.17,0.0105684,0.0170393
DTXSID1023786,624-83-9,Methyl isocyanate,uc,2.59867e-12,1.74962,7.56909,39.5896,5.62194e-5,0.160339,0.967358,6.67913,-0.332458,-44.9345,344.889,0.746059
DTXSID1023819,3056-17-5,Stavudine,uc,6.00421e-11,1.1307,3.35079,258.798,2.10332e-9,0.193295,9.07356,56.614,-0.720437,148.643,1.39869e-8,0.131211
DTXSID1023869,834-12-8,Ametryn,bc,1.49509e-11,6.50732,3.35341,344.987,2.34138e-8,0.138197,9.06819,389.067,2.9793,88.05,2.72716e-6,9.01246e-4
DTXSID1023990,21725-46-2,Cyanazine,uc,1.5979e-11,11.2447,5.1556,324.679,4.60742e-9,0.108803,9.09595,190.846,2.22077,167.974,1.38566e-7,7.13337e-4
DTXSID1023992,460-19-5,Cyanogen,uc,7.20576e-14,1.28742,9.90914,225.312,4.30584e-7,0.150974,2.60373,5.61509,0.0705208,-27.813,4298.11,3.27397
DTXSID1023996,108-91-8,Cyclohexylamine,uc,1.20811e-11,6.50248,4.49284,133.968,4.20347e-6,0.107527,4.74771,38.1306,1.48574,-17.5815,10.0543,10.0312
DTXSID1023998,52315-07-8,Cypermethrin,nbc,3.41147e-11,338.97,3.35135,424.345,2.07474e-9,5.0024,11.7027,99845.4,6.59788,81.3899,3.06772e-9,3.57651e-8
DTXSID1024049,35367-38-5,Diflubenzuron,uc,1.05917e-11,158.674,3.5341,263.086,7.99013e-11,0.259159,9.39837,6742.19,3.87716,238.964,8.96007e-10,4.01475e-7
DTXSID1024091,759-94-4,EPTC,nbc,3.17959e-11,23.7773,4.62751,215.905,2.89153e-7,0.0695576,6.9062,239.641,3.2102,0.371881,0.0239796,0.00196959
DTXSID1024097,111-76-2,2-Butoxyethanol,nbc,1.86323e-11,4.23241,4.43924,168.282,1.59344e-6,0.225199,4.89919,67.3685,0.828046,-74.1226,0.882349,1.07776
DTXSID1024120,77182-82-2,Glufosinate-ammonium,nbc,1.08562e-11,3.9441,3.55442,317.968,4.95906e-11,0.072497,8.31934,424.525,-0.558491,214.982,3.33235e-9,4.16606
DTXSID1024122,1071-83-6,Glyphosate,nbc,8.11535e-12,4.08299,4.464,318.131,5.18451e-11,0.0794085,8.40362,2078.38,-3.39865,189.461,9.73706e-8,0.0655839
DTXSID1024124,79277-27-3,Thifensulfuron methyl,uc,1.66067e-11,1.55949,4.29085,264.662,5.70581e-11,0.179264,9.54305,28.2228,1.56023,175.995,1.28171e-10,0.00268946
DTXSID1024126,1024-57-3,Heptachlor epoxide B,uc,6.78615e-13,5147.96,218.743,328.513,2.1053e-5,158.419,9.4041,10488.6,4.98145,159.96,1.93968e-5,5.67735e-7
DTXSID1024170,24307-26-4,"1,1-Dimethylpiperidinium chloride",nbc,1.84551e-11,12.3172,12.2345,135.047,0.11528,4.07249,3.07219,979607,-2.82018,222.881,0.149193,3.32377
DTXSID1024174,78-48-8,Tribufos,nbc,2.00463e-11,457.467,378.717,343.85,2.98862e-7,0.254259,10.1055,5011.04,5.69968,15.8481,5.32026e-6,5.46514e-6
DTXSID1024209,300-76-5,Naled,uc,3.21539e-11,3.98975,4.13865,275.173,1.93239e-5,4.19779,7.79297,181.674,1.38217,26.9387,2.0146e-4,4.83915e-4
DTXSID1024251,354-33-6,Pentafluoroethane,uc,2.49787e-15,21.1432,7.57477,-48.4781,0.0910392,0.114011,-0.0454136,54.2463,1.25894,-103.137,10522.9,2.53362e-4
DTXSID1024255,13684-63-4,Phenmedipham,nbc,1.37488e-11,18.9069,3.54696,272.277,1.50617e-10,0.195842,9.37894,2398.86,3.58883,142.876,1.03755e-11,1.26544e-5
DTXSID1024259,2310-17-0,Phosalone,nbc,1.7107e-11,499.214,94.7555,417.378,1.9956e-7,1.6824,11.6888,426.685,4.38002,47.7737,1.23063e-7,6.04461e-6
DTXSID1024338,23564-05-8,Thiophanate-methyl,nbc,1.69075e-11,5.6225,4.94349,264.844,1.6468e-10,0.287499,9.41844,1770.87,1.39975,167.42,7.12033e-8,1.81055e-4
DTXSID1024415,1064-48-8,"C.I. Acid Black 1, disodium salt",uc,3.70632e-11,3.54611,3.55229,304.972,2.33091e-10,0.382254,9.47562,51856.2,3.31339,188.924,2.88761e-10,0.149274
DTXSID1024598,118-58-1,Benzyl salicylate,uc,1.44198e-11,25.3647,3.55813,325.499,2.76273e-10,0.129214,9.26321,116.435,3.10622,67.1464,6.42419e-7,3.31304e-4
DTXSID1024671,1338-23-4,2-Butanone peroxide,uc,2.56053e-11,2.68475,4.467,298.504,2.67696e-9,0.127816,7.83957,213.717,1.65864,21.2136,1.13663e-4,0.0864492
DTXSID1024835,104-55-2,3-Phenylprop-2-enal,uc,4.79951e-11,8.70758,4.81723,245.978,6.57199e-5,0.513347,4.82822,66.9829,1.89921,-6.93975,0.0290401,0.0107571
DTXSID1024881,930-68-7,2-Cyclohexen-1-one,uc,5.69428e-11,3.98867,4.0985,169.749,1.05964e-5,0.127628,3.46947,44.4627,0.609232,-52.5745,7.0105,0.139745
DTXSID1025017,80-43-3,Dicumyl peroxide,uc,1.65216e-11,416.735,11.3136,395.914,3.16491e-5,0.977666,8.61011,3858.47,5.49978,40.8778,7.13899e-5,1.69071e-6
DTXSID1025190,259444,C.I. Direct Blue 1,uc,8.30691e-11,5.09617,12.72,405.981,2.68218e-11,0.230761,9.5951,32612.4,4.38636,193.484,3.4317e-8,0.0516281
DTXSID1025227,112-95-8,Eicosane,uc,1.96374e-11,326.186,25.0423,343.014,5.4078e-6,8.78061,8.82492,4806.07,9.41623,36.7741,4.69186e-6,6.75155e-9
DTXSID1025300,1241-94-7,2-Ethylhexyl diphenyl phosphate,uc,2.27447e-11,308.967,4.22717,375.015,5.4043e-5,0.707814,11.7254,2490.78,5.72969,-53.7188,4.9799e-5,5.19075e-6
DTXSID1025302,5466-77-3,Octinoxate,uc,1.79762e-11,491.012,4.90261,336.143,1.07402e-7,0.339882,8.51784,924.073,5.19958,25.939,5.34881e-6,2.10098e-5
DTXSID1025306,16219-75-3,5-Ethylidene-2-norbornene,uc,2.30101e-10,109.904,2.54612,145.992,0.00537744,0.275719,4.53852,1621.78,3.81982,-22.2255,2.41799,7.48206e-5
DTXSID1025308,97-63-2,Ethyl methacrylate,uc,3.38422e-11,3.41386,4.28434,117.059,1.20801e-4,0.0956627,3.70349,36.9301,1.93912,-0.886734,20.5933,0.0480704
DTXSID1025485,101-72-4,N-Isopropyl-N'-phenyl-p-phenylenediamine,uc,1.54445e-11,27.5087,6.51197,363.33,1.08167e-7,0.614368,9.11416,287.057,3.23288,74.0299,8.81653e-8,1.33946e-4
DTXSID1025512,569-64-2,Malachite green,uc,6.40774e-11,308.085,4.0403,354.56,2.02784e-6,3.08056,10.58,3964.45,0.620206,183.562,5.23832e-7,7.76916e-6
DTXSID1025564,109-87-5,Dimethoxymethane,uc,4.91626e-12,1.40691,7.59064,42.0797,1.71851e-4,0.166065,2.25994,11.108,0.0894558,-104.651,392.462,3.04384
DTXSID1025805,26530-20-1,Octhilinone,uc,2.98046e-11,14.0674,4.9625,255.467,6.75582e-5,0.772054,7.30539,706.605,2.45255,16.7235,3.73102e-5,0.00231176
DTXSID1025809,112-80-1,Oleic acid,uc,4.94406e-11,93.3063,5.3554,359.986,6.05302e-8,0.910033,10.6121,2355.33,7.6389,29.0486,1.39009e-6,4.34358e-8
DTXSID1025853,79-21-0,Peracetic acid,uc,4.23452e-13,1.60756,3.68107,110.104,2.13465e-6,0.105833,3.77938,7.92939,-0.874968,-0.193046,14.3665,13.1724
DTXSID1025857,66-71-7,"1,10-Phenanthroline",uc,3.06621e-11,11.7612,15.5844,307.873,9.69535e-5,3.23356,7.38303,4084.89,1.78611,117.803,1.38435e-4,0.0136571
DTXSID1026031,151-21-3,Sodium dodecyl sulfate,uc,1.87278e-11,5.99846,4.68114,291.203,2.32822e-7,0.495797,9.71461,1234.14,1.59845,205.347,2.08107e-5,0.00589587
DTXSID1026033,126-92-1,Sodium ethasulfate,uc,7.56497e-12,6.35443,3.65214,268.015,2.84972e-8,0.376909,8.39361,26.832,0.242942,145.783,1.68392e-5,0.132377
DTXSID1026035,2492-26-4,Sodium 2-mercaptobenzothiolate,uc,2.6243e-11,7.96072,12.9691,289.391,8.6846e-6,0.110826,5.72849,178.154,1.00929,176.546,4.30797e-6,6.7306e-4
DTXSID1026081,79-94-7,"3,3',5,5'-Tetrabromobisphenol A",uc,1.63084e-11,271.125,64.4656,416.811,1.76603e-8,0.841624,9.34259,128326,6.66284,180.942,5.30107e-9,1.78323e-6
DTXSID1026118,119-64-2,Tetralin,uc,3.41073e-11,338.818,8.03385,207.452,0.00265481,5.6089,5.00813,1687.71,3.4912,-35.4655,0.367214,3.48236e-4
DTXSID1026164,95-53-4,2-Methylaniline,uc,8.54947e-11,4.90032,3.80086,220.668,1.97489e-6,0.134349,5.91044,51.2222,1.32181,-16.2138,0.258226,0.149017
DTXSID1026241,118-56-9,"3,3,5-Trimethylcyclohexyl salicylate",uc,1.70039e-11,280.665,2.94264,293.98,1.56223e-9,0.926969,9.71153,3247.49,4.18727,69.688,2.10576e-6,5.87833e-4
DTXSID1026293,81-48-1,D&C Violet 2,uc,1.37605e-11,33.9309,71.1346,432.253,1.25431e-10,0.308959,9.56288,106716,3.76008,220.16,6.64442e-9,1.27672e-7
DTXSID1026378,74-85-1,Ethylene,uc,8.52682e-12,8.45811,9.92301,-103.425,0.227707,0.21219,0.280998,3.22692,1.12995,-168.944,51260,0.0142435
DTXSID1026401,75-28-5,Isobutane,uc,2.33693e-12,9.27361,10.2271,-11.6577,0.452597,0.216184,2.00019,17.8833,2.75772,-137.829,2596.13,0.00127184
DTXSID1026457,78-67-1,Azobisisobutyronitrile,uc,1.13833e-12,3.08809,7.49481,203.824,1.32824e-7,0.1165,4.14167,68.057,1.10077,101.413,0.00668275,0.00215489
DTXSID1026615,97-90-5,Ethylene glycol dimethacrylate,uc,3.54455e-11,3.12016,4.28632,225.004,8.00019e-5,0.4557,5.70846,18.3049,1.51355,58.4262,0.0437576,0.138683
DTXSID1026740,106-79-6,Dimethyl decanedioate,uc,7.11463e-12,60.7308,3.68137,278.489,1.0137e-7,0.637166,6.90464,630.416,2.68657,36.5458,0.00454752,5.26763e-4
DTXSID1026746,106-98-9,1-Butene,uc,3.1399e-11,6.85217,4.70728,-6.14267,0.232653,0.228305,2.28301,17.4075,2.40079,-184.018,2256.95,0.0056303
DTXSID1026796,108-65-6,1-Methoxy-2-propyl acetate,uc,1.19667e-11,3.34681,4.28671,145.608,1.69436e-5,0.147463,4.01541,2.31363,0.560301,-59.1015,3.91833,1.48859
DTXSID1026900,112-00-5,Dodecyltrimethylammonium chloride,uc,1.92918e-11,1448.22,4.85301,232.473,0.00127545,26.3095,6.90391,5196.27,-1.92193,220.336,0.00649942,1.2278e-7
DTXSID1026902,112-03-8,"N,N,N-Trimethyloctadecan-1-aminium chloride",uc,6.48899e-12,441.218,24.1192,323.564,1.57994e-6,8.1766,9.79133,14518.1,1.75917,220.378,9.99055e-6,8.51768e-9
DTXSID1026904,112-07-2,2-Butoxyethyl acetate,uc,1.23912e-11,3.2061,3.81247,192.003,5.50607e-6,0.273906,4.31709,112.842,1.00831,-62.9043,0.376443,0.0551874
DTXSID1026906,112-18-5,"N,N-Dimethyldodecan-1-amine",uc,2.82442e-11,1362.33,4.84966,259.937,7.06254e-4,23.5427,6.90709,2690.76,3.95423,21.2443,0.0076951,3.04907e-4
DTXSID1026908,112-25-4,2-Hexyloxyethanol,uc,4.06434e-11,9.42317,4.45447,207.989,1.17706e-5,0.162334,6.29976,102.081,1.85917,-44.9848,0.156021,0.0679699
DTXSID1027134,298-07-7,Bis(2-ethylhexyl) phosphate,uc,1.72713e-11,4.37133,3.68029,347.477,4.19524e-7,1.12488,11.2499,1675.76,4.04205,-49.7423,1.74311e-5,5.63087e-4
DTXSID1027184,541-02-6,Decamethylcyclopentasiloxane,uc,1.55115e-12,16.8486,214.797,210.014,32.9313,548.096,4.97389,8156.49,8.02976,-37.9845,0.199713,4.58211e-8
DTXSID1027219,582-25-2,Potassium benzoate,uc,2.28764e-12,3.72629,6.6407,249.237,2.66769e-7,0.262557,5.90758,31.66,-1.13544,184.192,7.0699e-4,0.331734
DTXSID1027263,628-63-7,Pentyl acetate,uc,7.5324e-12,9.24739,4.44713,146.92,3.88093e-4,0.247557,4.08966,57.0834,2.29523,-73.4504,3.49186,0.0130166
DTXSID1027267,629-59-4,Tetradecane,uc,1.91973e-11,1844.51,22.8926,253.48,0.018499,30.7334,6.70363,3056.69,7.59851,5.55811,0.0115999,1.33518e-8
DTXSID1027269,629-73-2,1-Hexadecene,uc,7.89548e-11,1255.53,5.98358,284.942,0.00129154,46.6558,7.45444,3015.26,7.92899,4.25657,0.00262271,3.39893e-9
DTXSID1027340,928-72-3,"Glycine, N-(carboxymethyl)-, disodium salt",uc,3.13318e-12,3.89617,4.45569,318.233,5.20756e-10,0.114904,7.25682,33.2644,-2.14527,223.905,1.58976e-6,0.755464
DTXSID1027344,947-04-6,Azacyclotridecan-2-one,uc,1.27538e-11,2.57963,5.91645,274.735,7.9269e-8,0.519671,8.45966,104.514,2.9224,151.24,4.4498e-7,0.00147709
DTXSID1027479,2440-22-4,2-(2H-Benzotriazol-2-yl)-4-methylphenol,uc,1.59211e-11,22.1489,4.06544,322.083,2.80876e-8,0.370114,9.80151,1341.75,4.30517,132.043,8.51437e-8,7.44877e-5
DTXSID1027500,2807-30-9,2-Propoxyethanol,uc,2.14169e-11,2.77103,3.67212,149.727,7.93249e-7,0.0863143,4.3954,14.1309,0.32186,-2.37152,3.11892,7.4444
DTXSID1027504,2867-47-2,2-(Dimethylamino)ethyl methacrylate,uc,3.20855e-11,3.35056,4.29118,186.071,3.19071e-5,0.0935008,4.5208,29.5722,0.147363,-30.1104,0.94407,0.52549
DTXSID1027550,3926-62-3,Sodium chloroacetate,uc,9.8337e-13,4.50051,7.12262,189.236,9.31406e-9,0.267767,4.05802,4.56291,-1.03573,113.903,0.0667299,8.66995
