DTXSID,true_chemname,true_cas
DTXSID501018740,Extract of prickly ash,90105-89-8
DTXSID401018654,Carbomer 980,139637-85-7
DTXSID60885734,"L-Proline, 1-(1-oxohexadecyl)-4-[(1-oxohexadecyl)oxy]-, (4R)-",41672-81-5
DTXSID30866439,"Octadecanoic acid, 12-[(1-oxooctadecyl)oxy]-, octadecyl ester",54684-78-5
DTXSID5029396,"Glycerides, palm-oil mono- and di-, hydrogenated",67784-87-6
DTXSID20103946,"Guar gum, 2-hydroxypropyl 2-hydroxy-3-(trimethylammonio)propyl ether, chloride",71329-50-5
DTXSID201018741,Wild yam extract,90147-49-2
DTXSID9093694,"Oils, sweet bay",8007-48-5
DTXSID70884415,"L-Aspartic acid, compd. with L-arginine (1:1)",7675-83-4
DTXSID5022437,Nordihydroguaiaretic acid,500-38-9
DTXSID901018742,Piper methysticum extract,84696-40-2
DTXSID3048942,3beta-Acetoxy-5-pregnene-20-one,1778-02-5
DTXSID301018744,Ostrea edulis extract,94465-79-9
DTXSID601018743,C.I. Natural Red 22,98225-55-9
DTXSID701019182,Pterocarpus santalinus extract,84650-41-9
DTXSID001018745,Carlina acaulis extract,85940-33-6
DTXSID0042454,"(+/-)-2,3-Dihydroxypropyl tetradecanoate",589-68-4
DTXSID701018746,Basil extract,84775-71-3
DTXSID3042005,Glyceryl monomyristate,27214-38-6
DTXSID101018748,Cabbage extract,89958-13-4
DTXSID701018760,Extract of spinach,90131-25-2
DTXSID9040922,Trypsin,9002-07-7
DTXSID7074408,Potassium docosanoate,7211-53-2
DTXSID301014392,Sucrose acetate stearate,52439-69-7
DTXSID30885589,"Acetic acid, 2-mercapto-, potassium salt (1:1)",34452-51-2
DTXSID201010878,Glucose oxidase,9001-37-0
DTXSID701018758,"Rhamnus frangula, ext.",84625-48-9
DTXSID401018759,"Frangula, ext.",8057-57-6
DTXSID801018749,Extract of rhubarb root,8016-55-5
DTXSID20721184,Copper acetylmethionate,105883-51-0
DTXSID50188509,1-(2-(Dodecyloxy)ethyl)pyrrolidine hydrochloride,34965-01-0
DTXSID3047687,Calcium L-ascorbate dihydrate,5743-28-2
DTXSID30862552,"Dodecane-1,2-diol",1119-87-5
DTXSID4097338,"Amides, vegetable-oil, N,N-bis(hydroxyethyl)",68155-26-0
DTXSID0065010,"9-Octadecenoic acid (9Z)-, 2-[2-(2-hydroxyethoxy)ethoxy]ethyl ester",10233-14-4
DTXSID101019184,Larrea divaricata extract,91722-67-7
DTXSID201018008,"Eicosapentaenoic acid, (Z,?Z,?Z,?Z,?Z)?-",32839-30-8
DTXSID901018009,Eicosapentaenoic acid,25378-27-2
DTXSID401018761,"Cypripedium calceolus pubescens, ext.",84775-54-2
DTXSID701019663,Glyceryl abietate,1337-89-9
DTXSID701010916,"Flavonoids, lemon oil",61788-55-4
DTXSID401011484,"L-Glutamic acid, N-coco acyl derivs., compds. with triethanolamine (1:1)",68187-29-1
DTXSID4047969,Trolamine salicylate,2174-16-5
DTXSID40461833,Isooctahexacontane(9CI),179268-62-3
DTXSID501018764,Calluna vulgaris extract,84603-54-3
DTXSID10894437,"Fatty acids, palm kernel-oil, sodium salts",61789-89-7
DTXSID801018763,Pyrrolidinone,28261-54-3
DTXSID00147601,Tridecyl neopentanoate,105859-93-6
DTXSID80398932,Hexadecylpentaglycol,4478-97-1
DTXSID001019181,Cola acuminata extract,89997-82-0
DTXSID30110060,S-(Carboxymethyl)-L-cysteine,638-23-3
DTXSID201018765,Saffron extract,84604-17-1
DTXSID80883373,Citrulline,372-75-8
DTXSID80912632,"N-{3-[Ethyl(dimethyl)azaniumyl]propyl}octadeca-9,12-dienimidate--ethyl hydrogen sulfate (1/1)",99542-23-1
DTXSID00864043,2-Ethylhexanoic acid triglyceride,7360-38-5
DTXSID10868315,"3,7,11,15-Tetramethylhexadecane-1,2,3-triol",74563-64-7
DTXSID50894678,"Glycerides, tall-oil mono-, di-, and tri-",97722-02-6
DTXSID30918361,2-Hydroxy-N-[3-(trimethylazaniumyl)propyl]propanimidate--hydrogen chloride (1/1),93507-51-8
DTXSID80192119,"4-(3-((9,10-Dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino)prop- yl)-4-methyl morpholinium methyl sulfate",38866-20-5
DTXSID00215536,4-((2-Hydroxyethyl)amino)-3-nitrophenol,65235-31-6
DTXSID5037022,N-Acetyl-methionine,1115-47-5
DTXSID00883214,"L-Methionine, N-acetyl-",65-82-7
DTXSID401018804,Extract of mango,90063-86-8
DTXSID70918466,16-Methylheptadecyl 12-(octadecanoyloxy)octadecanoate,93385-12-7
DTXSID501014336,"Glycerides, lard mono-, di- and tri-, hydrogenated",91744-48-8
DTXSID801018806,Prunus africana extract,94279-95-5
DTXSID501018807,Euphrasia extract,84625-36-5
DTXSID40703821,Sodium 1-[(5-oxidanidyl-5-oxidanylidene-L-norvalyl)oxy]-1-oxooctadecane,79811-24-8
DTXSID90885727,"L-Glutamic acid, N-(1-oxooctadecyl)-, sodium salt (1:1)",38517-23-6
DTXSID201018808,Chondroitin sulfate A,24967-93-9
DTXSID20863533,"Propanamide, 2-hydroxy-N-(2-hydroxyethyl)-",5422-34-4
DTXSID7074379,Potassium L-Lactate,85895-78-9
DTXSID801019185,C.I. Natural Brown 9,77465-45-3
DTXSID301001278,"3,8-Dimethyl-2,7-dihydrobenzo[1,2,3-cd:4,5,6-c'd']diindole-4,5,9,10-tetrone",8049-97-6
DTXSID1028106,"Fatty acids, palm-oil, sodium salts",61790-79-2
DTXSID80859134,"2-Methyl-3-(3,7,11,15-tetramethyl-2-hexadecen-1-yl)-1,4-naphthoquinone",81818-54-4
DTXSID201019199,"D-Glucose, homopolymer, dodecyl ether",167817-58-5
DTXSID901018809,Caraway extract,85940-31-4
DTXSID101019203,Hydrogenated fish oil,91078-95-4
DTXSID2040236,Kojic acid,501-30-4
DTXSID50943332,Quaternium-45,21034-17-3
DTXSID80894585,"Glutens, enzyme-modified",70084-87-6
DTXSID80962298,7-Methyloctyl 7-methyloctanoate,42131-25-9
DTXSID80866747,"Hexanoic acid, 3,5,5-trimethyl-, 3,5,5-trimethylhexyl ester",59219-71-5
DTXSID6060131,"Acetic acid, 2,2'-dithiobis-",505-73-7
DTXSID30859927,DL-Asparagine,3130-87-8
DTXSID70894690,"Isooctadecanoic acid, 1,1',1''-(1,2,3-propanetriyl) ester",26942-95-0
DTXSID6058631,Triethylene glycol monododecyl ether,3055-94-5
DTXSID101015001,Glutamic acid sodium salt,16177-21-2
DTXSID4020905,dl-Monosodium glutamate,32221-81-1
DTXSID9041023,"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid",10417-94-4
DTXSID0047240,Sodium L-glutamate hydrate,6106-04-3
DTXSID90391636,"3,6,9,12,15-Pentaoxaheptacosanoicacid",21127-45-7
DTXSID90872516,Aluminum oxide (AlO2),11092-32-3
DTXSID801018163,"Sulfuric acid, nickel(2+) salt (1:1)",15905-81-4
DTXSID80906016,Sulfuric acid--iron (1/1),10124-49-9
DTXSID201018177,"Dodecanoic acid, 2-?aminoethyl ester",78616-98-5
DTXSID4048307,Flavin adenine dinucleotide,146-14-5
DTXSID90889427,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, zinc salt (2:3)",546-46-3
DTXSID0058774,Pyridoxal hydrochloride,65-22-5
DTXSID50925491,Orthosilicate,12627-13-3
DTXSID701019201,Extract of galega,84650-07-7
DTXSID401019202,Teucrium scorodonia extract,90131-55-8
DTXSID001018733,"Diphosphoric acid, ammonium manganese(2+) salt (2:2:3)",28602-69-9
DTXSID60886105,"Benzenesulfonic acid, 4-dodecyl-, compd. with 1-amino-2-propanol (1:1)",54590-52-2
DTXSID701010859,Pancreatin,8049-47-6
DTXSID101018762,Methocel,79484-92-7
DTXSID9093692,Mace oil,8007-12-3
DTXSID40179683,Dermatan sulfate,24967-94-0
DTXSID6040163,"2,3,4,5-Tetrabromo-6-methylphenol",576-55-6
DTXSID501019186,Methylsilanol,18089-54-8
DTXSID70872897,Poloxamer,106392-12-5
DTXSID60107600,C.I. Basic Blue 22,12217-41-3
DTXSID401019333,Ascorbyl oleate,2495-84-3
DTXSID001009778,.beta.-Galactosidase,9031-11-2
DTXSID6057742,Calcium undecylenate,1322-14-1
DTXSID101018681,Rennet,9042-08-4
DTXSID601019165,"3,4-Thiophenediol, tetrahydro-, (3R,4S)-rel-",3976-75-8
DTXSID40884104,"Sulfuric acid, monododecyl ester, potassium salt (1:1)",4706-78-9
DTXSID801018963,Boswellia carterii extract,89957-98-2
DTXSID20108991,Neptune Blue,39409-45-5
DTXSID801018737,Tergitol,68894-53-1
DTXSID7062459,"1,2,3,7-Tetrahydro-2-thioxo-6H-purin-6-one",2487-40-3
DTXSID20873910,Polymethacrylamide,25014-12-4
DTXSID8051415,Potassium hydrogen monopersulfate,37222-66-5
DTXSID70894190,Ferric hexacyanide,13408-62-3
DTXSID30884077,"1H-Thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2-oxo-, (3aS,4S,6aR)-, compd. with N-(2,5-dioxo-4-imidazolidinyl)urea (1:1)",4492-73-3
DTXSID90894798,Plaster of Paris,26499-65-0
DTXSID4023678,Tiopronin,1953-02-2
DTXSID9034735,Quaternium-11,1399-80-0
DTXSID601018731,Litharge (PbO),79120-33-5
DTXSID3065532,"Undecanoic acid, 1,2,3-propanetriyl ester",13552-80-2
DTXSID001019200,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, sodium salt (1:?)",14475-11-7
DTXSID401010286,2-Octyldodecyl oleate,22801-45-2
DTXSID501014912,"Sorbitan, dioctadecanoate",36521-89-8
DTXSID7030858,Black haw bark extract,84929-54-4
DTXSID80190352,Tramiprosate,3687-18-1
DTXSID60107680,Shellsol,12676-97-0
DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6
DTXSID3063627,Urea phosphate (1:1),4861-19-2
DTXSID80912339,iodide ion,20461-54-5
DTXSID2049921,Bicarbonate,71-52-3
DTXSID60862787,Ethyl 4-methoxycinnamate,1929-30-2
DTXSID201019206,5(4H)-Thiazolone,5666-38-6
DTXSID80149648,Mgk glyceride,11140-04-8
DTXSID60174998,Gentiakochianin,20882-75-1
DTXSID60873914,"1,2,4-Triacetoxybenzene",613-03-6
DTXSID3070468,"2,5-Diaminoanisole sulfate",66671-82-7
DTXSID70388766,Ammoniated mercury,10124-48-8
DTXSID901019207,Asiatic acid,464-92-6
DTXSID501018964,Chervil,1338-80-3
DTXSID3064437,"1-Tetradecanol, hydrogen phosphate",6640-03-5
DTXSID801010864,Hemoglobins,9008-02-0
DTXSID601011278,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(tridecyloxy)-",9004-84-6
DTXSID901019164,Sugar beet extract,89957-89-1
DTXSID201019187,Prunus serotina extract,84604-07-9
DTXSID601018767,"Tetrahydro-3,4-thiophenediol",86827-92-1
DTXSID201018810,Extract of millet,90082-36-3
DTXSID90894450,Pentaerythrityl tetraisostearate,62125-22-8
DTXSID90724763,2-Methylpentapentacontahectane,179268-63-4
DTXSID40475152,"1-Dodecanol, octyl-",34513-50-3
DTXSID0047458,Triacylglycerol lipase,9001-62-1
DTXSID00989508,"3-(Docosanoyloxy)-2-hydroxy-N,N,N-trimethylpropan-1-aminium chloride",69537-38-8
DTXSID001018757,"2,?4-?Imidazolidinedione, (hydroxymethyl)?-?5,?5-?dimethyl-",27636-82-4
DTXSID901019338,"1-Dodecanesulfonic acid, ion(1-)",38480-64-7
DTXSID3021273,Sodium copper chlorophyllin,28302-36-5
DTXSID50939730,2-Methylprop-2-enoate,18358-13-9
DTXSID5063990,"Methanamine, N-hydroxy-N-methyl-",5725-96-2
DTXSID70198983,"Ethanol, 2-(4-amino-3-nitrophenoxy)-",50982-74-6
DTXSID3060902,"Guanine, monohydrochloride",635-39-2
DTXSID50867206,2-Hydroxyethylamino-5-nitroanisole,66095-81-6
DTXSID6020191,HC Blue 1,2784-94-3
DTXSID4052342,Thymine,65-71-4
DTXSID301018768,"Agaricus campestris bisporus, ext.",95009-14-6
DTXSID901010855,Lysozyme,9001-63-2
DTXSID70979037,Sulfuric acid--4-aminophenol (1/2),63084-98-0
DTXSID70206133,"Ethanol, 2-((4-methoxy-2-nitrophenyl)amino)-",57524-53-5
DTXSID201019101,"Propanoic acid, 2,2-dimethyl-, isoeicosyl ester",137028-15-0
DTXSID20197941,Golden Yellow,49625-21-0
DTXSID50150923,Prenderol,115-76-4
DTXSID501015758,Difluoroethane,25497-28-3
DTXSID30359891,"2-[3-chloro-4-[(2,4-dichlorobenzoyl)amino]phenyl]-1,3-dioxoisoindole-5-carboxylic acid",5836-69-1
DTXSID10867767,"Propyl 3-[5,6-bis(benzyloxy)-1-oxo-2,3-dihydro-1H-inden-2-yl]propanoate",68935-40-0
DTXSID0024846,Copper acetoarsenite,12002-03-8
DTXSID001018769,Coriander seed glyceridic oil,246865-89-4
DTXSID20955341,2-Imino-2H-purin-6-ol--hydrogen chloride (1/1),33735-91-0
DTXSID401017763,Hexadecanol,29354-98-1
DTXSID10873500,Lactate ion(1-),113-21-3
DTXSID701019099,"Octadecanoic acid, manganese salt (1:?)",10476-84-3
DTXSID10158824,Trihydroxy boroxine,13460-51-0
DTXSID901014233,Pantothenate,20938-62-9
DTXSID6043917,D-Ribose,50-69-1
DTXSID601018755,Trigamine,59272-74-1
DTXSID001018276,"4-Methoxy-1,3-benzenediamine sulfate (1:x)",6219-67-6
DTXSID4093801,"Phosphatase, alkaline",9001-78-9
DTXSID101019041,Ammonium borate ((NH4)3BO3),22694-75-3
DTXSID501019100,Hydroxyoctanoic acid,92348-62-4
DTXSID10858736,"O,O-Dimethylthiophosphate",1112-38-5
DTXSID1021457,Gardenia Yellow,94238-00-3
DTXSID30859083,"L-?Histidine, hydrochloride (1:x)",1007-42-7
DTXSID10865400,"2,2-Dimethylpropane-1,3-diyl diheptanoate",27841-04-9
DTXSID801018175,"threo-?2,?3-?Hexodiulosonic acid, ?-?lactone",33124-69-5
DTXSID00912316,Dehydroascorbic acid,490-83-5
DTXSID701002416,"4-[(3-Carboxy-1-hydroxypropylidene)amino]-2,2,6,6-tetramethyl-1-oxopiperidin-1-ium",82048-29-1
DTXSID60927224,"6-O-[N,N-Di(propan-2-yl)glycyl]hexonic acid",13149-68-3
DTXSID50894133,Polycaprolactone,25248-42-4
DTXSID901018730,"Propanoic acid, 3,?3'-?(1,?3-?dioxo-?1,?3-?digermoxanediyl)?bis-?, homopolymer",126595-07-1
DTXSID90109172,"Yucca filamentosa, ext.",90147-58-3
DTXSID40274223,Pinus strobus ext.,90082-77-2
DTXSID901018966,Eggplant extract,84012-19-1
DTXSID201018965,Extract of potato,90083-08-2
DTXSID2044266,Atomoxetine hydrochloride,82248-59-7
DTXSID9046443,Duloxetine hydrochloride,136434-34-9
DTXSID9046786,Tadalafil,171596-29-5
DTXSID8046660,Pemetrexed disodium,150399-23-8
DTXSID6046686,Cilomilast,153259-65-5
DTXSID0046777,Fosamprenavir calcium,226700-81-8
DTXSID8046452,Dutasteride,164656-23-9
DTXSID3045938,Tylosin tartrate,74610-55-2
DTXSID20162937,Rizatriptan benzoate,145202-66-0
DTXSID70904501,Alendronate sodium anhydrous,129318-43-0
DTXSID6044303,Atorvastatin calcium,134523-03-8
DTXSID8048995,Cefoxitin sodium salt,33564-30-6
DTXSID30964383,"4-(2-{[4-(4-Hydroxyphenyl)butan-2-yl]amino}ethyl)benzene-1,2-diol--hydrogen chloride (1/1)",49745-95-1
DTXSID5045598,Doxazosin mesylate,77883-43-3
DTXSID5044231,Esomeprazole magnesium,161973-10-0
DTXSID50858755,Erythromycin thiocyanate,7704-67-8
DTXSID20208248,Sodium oxolinate,59587-08-5
DTXSID601019672,Spiramycin adipate,68880-55-7
DTXSID3045352,Colistin sulfate,1264-72-8
DTXSID7040499,Human insulin,11061-68-0
DTXSID101016809,Glucagon,16941-32-5
DTXSID2040864,Human serum albumin,9048-46-8
DTXSID7020635,Fluoxetine hydrochloride,56296-78-7
DTXSID3044758,Fluvastatin sodium,93957-55-2
DTXSID20872448,Folinic acid calcium salt,1492-18-8
DTXSID2023303,Methylprednisolone succinate,2375-03-3
DTXSID8044545,Minocycline hydrochloride,13614-98-7
DTXSID0023325,Mirtazapine,61337-67-5
DTXSID8046450,Montelukast sodium,151767-02-1
DTXSID6049064,Naratriptan hydrochloride,143388-64-1
DTXSID3044203,Pioglitazone hydrochloride,112529-15-4
DTXSID3044201,Quetiapine fumarate,111974-72-2
DTXSID3044205,Rabeprazole sodium,117976-90-6
DTXSID1034181,Raloxifene hydrochloride,82640-04-8
DTXSID8047840,Rivastigmine tartrate,129101-54-8
DTXSID4046076,Sildenafil citrate,171599-83-0
DTXSID80924972,"2,3-Dihydroxybutanedioic acid--2-{3-[di(propan-2-yl)amino]-1-phenylpropyl}-4-methylphenol (1/1)",124937-52-6
DTXSID60988759,"Sodium 2-amino-N-(2-carboxy-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptan-6-yl)-2-phenylethanimidate",69-52-3
DTXSID0022775,Cefuroxime axetil,64544-07-6
DTXSID1037224,Erythromycin estolate,3521-62-8
DTXSID9021186,Premarin,12126-59-9
DTXSID5048716,Fexofenadine hydrochloride,153439-40-8
DTXSID70858772,Becaplermin,165101-51-9
DTXSID2073986,"Acetic acid, sodium salt, trihydrate",6131-90-4
DTXSID2049002,Dicloxacillin sodium salt monohydrate,13412-64-1
DTXSID801016674,Croscarmellose sodium,74811-65-7
DTXSID20913608,"1-Cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid--2-hydroxypropanoic acid (1/1)",97867-33-9
DTXSID9048857,Ondansetron hydrochloride dihydrate,103639-04-9
DTXSID40872344,Citalopram hydrobromide,59729-32-7
DTXSID7047801,Alendronate sodium,121268-17-5
DTXSID50228914,Paroxetine hydrochloride [USP],78246-49-8
DTXSID5047825,Vinorelbine tartrate,125317-39-7
DTXSID00104875,"Amylopectin, 2-hydroxypropyl ether",74315-67-6
DTXSID40102214,"Fats and Glyceridic oils, vegetable, esters with polyglycerol",68953-55-9
DTXSID0040129,Emtricitabine,143491-57-0
DTXSID2043909,Amlodipine besylate,111470-99-6
DTXSID6040583,Pergolide methanesulfonate,66104-23-2
DTXSID1045798,Salmeterol xinafoate,94749-08-3
DTXSID60145966,Sumatriptan succinate,103628-48-4
DTXSID80894984,Calcium fumarate,7718-51-6
DTXSID7047776,Proguanil hydrochloride,637-32-1
DTXSID40894147,Abacavir sulfate,188062-50-2
DTXSID3046617,Epoprostenol sodium,61849-14-7
DTXSID2044210,Valacyclovir hydrochloride,124832-27-5
DTXSID1045952,Topotecan hydrochloride,119413-54-6
DTXSID50238533,Ropinirole hydrochloride,91374-20-8
DTXSID2023569,Rosiglitazone maleate,155141-29-0
DTXSID5050426,Tenofovir disoproxil fumarate,202138-50-9
DTXSID1040619,Bexarotene,153559-49-0
DTXSID1040243,Sertraline hydrochloride,79559-97-0
DTXSID4021216,Pyrilamine maleate,59-33-6
DTXSID6040666,Deferiprone,30652-11-0
DTXSID9021215,Pyrazinamide,98-96-4
DTXSID601016080,Clopidogrel bisulfate,120202-66-6
DTXSID0044444,4-O-alpha-D-Glucopyranosyl-D-glucitol,585-88-6
DTXSID40912597,2-(Dimethylamino)-1-phenylethan-1-ol--hydrogen chloride (1/1),99614-01-4
DTXSID4052768,Galantamine hydrobromide,1953-04-4
DTXSID7044215,Pantoprazole sodium,138786-67-1
DTXSID8047397,Venlafaxine hydrochloride,99300-78-4
DTXSID501019136,Ceftriaxone Sodium,74578-69-1
DTXSID5046487,Adefovir dipivoxil,142340-99-6
DTXSID601018105,Semduramicin sodium,119068-77-8
DTXSID9020110,Astemizole,68844-77-9
DTXSID70227388,Divalproex sodium [USAN:USP],76584-70-8
DTXSID2091546,Tolmetin sodium salt,35711-34-3
DTXSID3047849,"2'-Deoxy-2',2'-difluorocytidine monohydrochloride",122111-03-9
DTXSID9023209,Levodopa,59-92-7
DTXSID90883228,"L-Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-, sodium salt (1:1)",55-03-8
DTXSID80892243,Calcium (S)-2-hydroxypropionate,28305-25-1
DTXSID2033736,Nelfinavir mesylate,159989-65-8
DTXSID9046992,Nicardipine hydrochloride,54527-84-3
DTXSID3021221,Quinapril hydrochloride,82586-55-8
DTXSID8021301,Tamoxifen citrate,54965-24-1
DTXSID2023642,Terfenadine,50679-08-8
DTXSID2023690,Torsemide,56211-40-6
DTXSID2045315,Trimipramine hydrogen maleate,521-78-8
DTXSID3049419,Atropine sulfate anhydrous (2:1) salt,55-48-1
DTXSID6044195,Calcium dichloride dihydrate,10035-04-8
DTXSID4045478,Carteolol hydrochloride,51781-21-6
DTXSID9045508,Levocabastine hydrochloride,79547-78-7
DTXSID5049071,Unoprostone isopropyl ester,120373-24-2
DTXSID6052790,Subtilisin,1/1/9014
DTXSID90883142,Mupirocin calcium anhydrous,104486-81-9
DTXSID00143067,Strontium chloride hexahydrate,10025-70-4
DTXSID1040245,Sucralose,56038-13-2
DTXSID2048379,Ropivacaine hydrochloride,98717-15-8
DTXSID501017130,Penicillin,1406-05-9
DTXSID5046934,Penicillin G,61-33-6
DTXSID60873212,Cisatracurium,96946-41-7
DTXSID3022958,Dobutamine,34368-04-2
DTXSID90210671,Levdobutamine,61661-06-1
DTXSID4023416,Pantoprazole,102625-70-7
DTXSID201015709,(S)-(-)-Pantoprazole,142678-35-1
DTXSID8045191,Ranitidine,66357-35-5
DTXSID0046482,Raltitrexed,112887-68-0
DTXSID8023393,Ondansetron,99614-02-5
DTXSID1023732,Valacyclovir,124832-26-4
DTXSID90157956,Insulin lispro,133107-64-9
DTXSID60904656,(S)-Fluoxetine,100568-02-3
DTXSID7023067,Fluoxetine,54910-89-3
DTXSID4023547,Quinapril,85441-61-8
DTXSID7048297,Goserelin,65807-02-5
DTXSID6023577,Sertraline,79617-96-2
DTXSID9022570,Alfentanil,71195-58-9
DTXSID7023190,Ketotifen,34580-13-7
DTXSID40208427,Carfentanil,59708-52-0
DTXSID9057767,Lodoxamide,53882-12-5
DTXSID3040643,Xylazine,7361-61-7
DTXSID6022896,Desipramine,50-47-5
DTXSID1045033,Minocycline,10118-90-8
DTXSID5023320,Midazolam,59467-70-8
DTXSID7022960,Dorzolamide,120279-96-1
DTXSID5045465,Apramycin,37321-09-8
DTXSID2022674,Betaxolol,63659-18-7
DTXSID30239341,Levobetaxolol,93221-48-8
DTXSID6045616,Flunarizine,52468-60-7
DTXSID1022714,Butorphanol,42408-82-2
DTXSID2022832,Clemastine,15686-51-8
DTXSID2023482,Piperacillin,61477-96-1
DTXSID8023634,Tazobactam,89786-04-9
DTXSID2022830,Clavulanic acid,58001-44-8
DTXSID6023319,Miconazole,22916-47-8
DTXSID30221221,Isopropamide iodide,71-81-8
DTXSID9023174,Isopropamide,7492-32-2
DTXSID0048260,Halofuginone,55837-20-2
DTXSID7022964,Doxazosin,74191-85-8
DTXSID9022784,Cephapirin,21593-23-7
DTXSID1022762,Cefotetan,69712-56-7
DTXSID3040487,Gemcitabine,95058-81-4
DTXSID3048233,Zuclopenthixol,53772-83-1
DTXSID4043802,Indinavir,150378-17-9
DTXSID3023265,Mesoridazine,5588-33-0
DTXSID6023571,Salmeterol,89365-50-4
DTXSID0022773,Ceftriaxone,73384-59-5
DTXSID00157826,Remifentanil,132875-61-7
DTXSID4022739,Carboprost,35700-23-3
DTXSID8048238,Cilastatin,82009-34-5
DTXSID4023628,Sumatriptan,103628-46-2
DTXSID8040690,Oxiconazole,64211-45-6
DTXSID50904847,(S)-Venlafaxine,93413-44-6
DTXSID6023737,Venlafaxine,93413-69-5
DTXSID2023438,Pergolide,66104-22-1
DTXSID3023425,Paroxetine,61869-08-7
DTXSID2048323,Deslorelin,57773-65-6
DTXSID4046947,Mitoxantrone,65271-80-9
DTXSID50904504,(S)-Amlodipine,103129-82-4
DTXSID7022596,Amlodipine,88150-42-9
DTXSID3023714,Trimetrexate,52128-35-5
DTXSID7046702,Ceftiofur,80370-57-6
DTXSID3058749,Flupenthixol,2709-56-0
DTXSID2023060,Fludarabine phosphate,75607-67-9
DTXSID8040640,Vinorelbine,71486-22-1
DTXSID9023253,Meperidine,57-42-1
DTXSID70873208,Cefepime,88040-23-7
DTXSID5022568,Alendronic Acid,66376-36-1
DTXSID20872761,Heparin,9005-49-6
DTXSID8029868,Atorvastatin,134523-00-5
DTXSID3023639,Terazosin,63590-64-7
DTXSID6044012,Saquinavir,127779-20-8
DTXSID1048415,Apraclonidine,66711-21-5
DTXSID5046691,Tazarotene,118292-40-3
DTXSID5022988,Epoprostenol,35121-78-9
DTXSID5044239,Formoterol hemifumarate,43229-80-7
DTXSID0023111,Granisetron,109889-09-0
DTXSID8023688,Topiramate,97240-79-4
DTXSID2023640,Terbinafine,91161-71-6
DTXSID4037168,Mefloquine,53230-10-7
DTXSID2020636,Fluvastatin,93957-54-1
DTXSID0048216,Folinic acid,58-05-9
DTXSID6043969,Chloride,16887-00-6
DTXSID1044271,Fosphenytoin sodium,92134-98-0
DTXSID30904249,Pirlimycin,79548-73-5
DTXSID2048589,Butenafine hydrochloride,101827-46-7
DTXSID3049671,Mica,12001-26-2
DTXSID3042685,Topotecan,123948-87-8
DTXSID3022794,Chlorguanide,500-92-5
DTXSID2023692,Trandolapril,87679-37-6
DTXSID3046827,Dolasetron mesylate,115956-13-3
DTXSID4023202,Letrozole,112809-51-5
DTXSID1030862,Bleomycin,11056-06-7
DTXSID1041057,Latanoprost,130209-82-4
DTXSID90897527,Carbetocin,37025-55-1
DTXSID6045953,Irinotecan hydrochloride,100286-90-6
DTXSID0046698,Donepezil hydrochloride,120011-70-3
DTXSID9022946,Dinoprost,551-11-1
DTXSID401014795,"Sulfuric acid, thallium salt (1:x)",10031-59-1
DTXSID8045195,Ropinirole,91374-21-9
DTXSID30163637,Glatiramer acetate,147245-92-9
DTXSID601019208,Nickel carbonate hydroxide (Ni5(CO3)2(OH)6),12122-15-5
DTXSID7051638,Nickel carbonate hydroxide,12607-70-4
DTXSID5027146,Diethyl sulfide,352-93-2
DTXSID3023390,Olopatadine,113806-05-6
DTXSID9046073,Hippuric acid,495-69-2
DTXSID2040579,Parthenolide,20554-84-1
DTXSID10909176,Strontium diiodide,10476-86-5
DTXSID9029641,"Lead, bis[carbonato(2-)]dihydroxytri-",1319-46-6
DTXSID901018166,Lead beta-phosphate,16040-38-3
DTXSID5064706,Lead phosphate (3:2),7446-27-7
DTXSID50893666,Aqua regia,8007-56-5
DTXSID5023746,Zafirlukast,107753-78-6
DTXSID2043795,Pyrvinium,7187-62-4
DTXSID8046793,Somatostatin,38916-34-6
DTXSID00193961,Dihydrosomatostatin,40958-31-4
DTXSID6023735,Valsartan,137862-53-4
DTXSID2068470,"Tetradecanamide, N-[3-(dimethylamino)propyl]-",45267-19-4
DTXSID0041060,Levofloxacin,100986-85-4
DTXSID4048305,Anagrelide,68475-42-3
DTXSID70911371,Brimonidine tartrate,70359-46-5
DTXSID801009334,Heparin calcium,37270-89-6
DTXSID9023546,Quetiapine,111974-69-7
DTXSID90146623,Pramipexole dihydrochloride,104632-25-9
DTXSID0046488,Cerivastatin sodium,143201-11-0
DTXSID5045043,Trazodone,19794-93-5
DTXSID7048243,Emedastine,87233-61-2
DTXSID20162730,Tirofiban,144494-65-5
DTXSID7023354,Naratriptan,121679-13-8
DTXSID6044561,2-(tert-Butylamino)-3'-chloropropiophenone hydrochloride,31677-93-7
DTXSID0023169,Irbesartan,138402-11-6
DTXSID0048630,Sevelamer hydrochloride,152751-57-0
DTXSID2046628,Tamsulosin hydrochloride,106463-17-6
