DTXSID,true_chemname,true_cas,esc
DTXSID1028526,"Fuel oil, No. 2",68476-30-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1028655,"Palm oil, hydrogenated",68514-74-9,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1028780,"Urea, reaction products with formaldehyde",68611-64-3,Active_ingredient_in_products; Pesticides
DTXSID10288796,"(3ar,7as)-hexahydro-2-benzofuran-1(3h)-one",6939-71-5,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID1028992,C10-16-alkyldimethyl amine N-oxides,70592-80-2,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029120,"4,4'-Biphenyldiol",92-88-6,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID1029124,"1,2,4,5-Tetramethylbenzene",95-93-2,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID1029128,Tetrahydrofurfuryl alcohol,97-99-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029170,4-Methylpent-3-en-2-one,141-79-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029253,"2,9-Dichloro-5,12-dihydroquino[2,3-b]acridine-7,14-dione",3089-17-6,Product_manufacturing; Substances_in_contact_with_food
DTXSID1029259,"9-Octadecenoic acid (9Z)-, decyl ester",3687-46-5,Personal_care; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029332,"Ferrate(4-), hexakis(cyano-.kappa.C)-, ammonium iron(3+) (1:1:1), (OC-6-11)-",25869-00-5,Product_manufacturing; Personal_care; Pharmaceutical
DTXSID1029334,Polyethylene glycol monodecyl ether,26183-52-8,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1029382,"Fatty acids, tall-oil, monoesters with sorbitan",61791-48-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029388,"2-Naphthalenesulfonic acid, 7-amino-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-, compd. with 2,2',2''-nitrilotris[ethanol] (1:2)",64683-40-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029419,C.I. Pigment Black 26,68186-94-7,Substances_in_contact_with_food; General_consumer_product; Product_manufacturing
DTXSID1029463,"Decanoic acid, mixed diesters with octanoic acid and propylene glycol",68583-51-7,Children_products_and_toys; Personal_care
DTXSID1029465,"Distillates, petroleum, C12-30-arom.",68602-80-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029467,"Imidazolium compounds, 1-[2-(2-carboxyethoxy)ethyl]-1(or 3)-(2-carboxyethyl)-4,5-dihydro-2-norcoco alkyl, hydroxides, disodium salts",68604-71-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029621,Carbonic acid sodium salt (1:2),497-19-8,Active_ingredient_in_products; Pesticides; Human_food_from_animals; Household_care_and_cleaning_products; Bottled_and_finished_water_for_consumption; Product_manufacturing; Personal_care; Food_supplement; Food_additive; Occupational_products; Petrochemicals; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029623,"Carbonic acid, barium salt (1:1)",513-77-9,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029671,Etidronate disodium,7414-83-7,Personal_care; General_consumer_product; Pharmaceutical
DTXSID1029677,Silica,7631-86-9,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029700,Calcium hypochlorite,7778-54-3,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029704,Ammonium sulfate,7783-20-2,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1029752,Isotridecanol,27458-92-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1029754,"Benzenesulfonic acid, undecyl-, sodium salt",27636-75-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1030606,Acesulfame potassium,55589-62-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1030862,Bleomycin,11056-06-7,General_consumer_product; Bottled_and_finished_water_for_consumption; Pharmaceutical; Surface_water; Wastewater
DTXSID1031040,Cobalt,7440-48-4,Arts_and_crafts_or_office_supplies; Personal_care; Home_maintenance_ and_building_materials; General_consumer_product; Bottled_and_finished_water_for_consumption; Substances_in_contact_with_food
DTXSID1031042,Cobalt sulfate,10124-43-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1031090,D&C Red 28,18472-87-2,General_consumer_product; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Pharmaceutical
DTXSID1031096,D-alpha-Tocopheryl acetate,58-95-7,Food_supplement; Food_additive; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1032303,(Z)-11-Hexadecenal,53939-28-9,Active_ingredient_in_products; Pesticides
DTXSID1032305,(Z)-Dichloropropene,10061-01-5,Active_ingredient_in_products; Pesticides
DTXSID1032309,"2,4-D-Butotyl",1929-73-3,Active_ingredient_in_products; Pesticides; Food
DTXSID1032355,Clomazone,81777-89-1,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed; Food; Surface_water
DTXSID1032357,Cyhexatin,13121-70-5,Active_ingredient_in_products; Pesticides
DTXSID1032359,Cyprodinil,121552-61-2,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1032482,Tebupirimfos,96182-53-5,Active_ingredient_in_products; Pesticides; Food; Surface_water
DTXSID1032484,Temephos,3383-96-8,Active_ingredient_in_products; Pesticides; Surface_water; Pharmaceutical
DTXSID1032488,Thiazopyr,117718-60-2,Active_ingredient_in_products; Pesticides; Food
DTXSID1032511,"1,3,5-Triethylhexahydro-s-triazine",7779-27-3,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food
DTXSID1032519,Acibenzolar-S-methyl,135158-54-2,Active_ingredient_in_products; Pesticides
DTXSID1032569,Pirimicarb,23103-98-2,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1032640,Pyriproxyfen,95737-68-1,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1032642,Rimsulfuron,122931-48-0,Active_ingredient_in_products; Pesticides; Food
DTXSID1032646,N-Ethylperfluorooctanesulfonamide,4151-50-2,Active_ingredient_in_products; Pesticides
DTXSID1032648,Z-Tetrachlorvinphos,22248-79-9,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1032690,Indoxacarb,173584-44-6,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1033161,Aldicarb sulfoxide,1646-87-3,Pesticides; Surface_water; Food; Bottled_and_finished_water_for_consumption
DTXSID1033325,Chlorinated paraffins,63449-39-8,Product_manufacturing; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1033371,Cyclopentanol,96-41-3,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID1033664,17-Methyltestosterone,58-18-4,Active_ingredient_in_products; Pharmaceutical
DTXSID10337990,"5-Ethyl-2,2,3-trimethylheptane",62199-06-8,Air_near_source; Chemicals_that_emit_or_offgas; Vehicles
DTXSID1034185,Sodium perchlorate,7601-89-0,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID1034187,Tamoxifen,10540-29-1,Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID1034210,Prodiamine,29091-21-2,Active_ingredient_in_products; Pesticides
DTXSID1034212,Spiroxamine,118134-30-8,Active_ingredient_in_products; Pesticides; Food
DTXSID1034218,"1H,3H,5H,-Oxazolo(3,4-c)oxazole, poly(oxymethylene) deriv.",56709-13-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1034260,Oxytetracycline,79-57-2,Active_ingredient_in_products; Pesticides; Food; Pharmaceutical
DTXSID1034262,Picloram triisopropanolamine salt,6753-47-5,Active_ingredient_in_products; Pesticides
DTXSID1034266,Aviglycine hydrochloride,55720-26-8,Active_ingredient_in_products; Pesticides
DTXSID1034341,Arsenic acid,7778-39-4,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed
DTXSID1034343,Arsenic(V) pentoxide,1303-28-2,Active_ingredient_in_products; Pesticides
DTXSID1034347,Barium metaborate,13701-59-2,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food
DTXSID1034391,Disodium octaborate tetrahydrate,12280-03-4,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1034397,Bromopropylate,18181-80-1,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed
DTXSID1034420,Asulam-sodium,2302-17-2,Active_ingredient_in_products; Pesticides
DTXSID1034424,Potassium N-methyldithiocarbamate,137-41-7,Active_ingredient_in_products; Pesticides; Food
DTXSID1034470,Copper ammonium carbonate,33113-08-5,Active_ingredient_in_products; Pesticides
DTXSID1034472,Copper ethylene diamine complex,13426-91-0,Active_ingredient_in_products; Pesticides
DTXSID1034476,Copper oxychloride sulfate,8012-69-9,Active_ingredient_in_products; Pesticides; Food
DTXSID1034501,gamma-Cyhalothrin,76703-62-3,Active_ingredient_in_products; Pesticides; Food
DTXSID1034503,Cyhalofop-butyl,122008-85-9,Active_ingredient_in_products; Pesticides; Food
DTXSID1034551,Diphacinone-sodium,42721-99-3,Active_ingredient_in_products; Pesticides
DTXSID1034634,Forchlorfenuron,68157-60-8,Active_ingredient_in_products; Pesticides; Food
DTXSID1034688,Lithium hypochlorite,13840-33-0,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1034715,Metaldehyde acetaldehyde tetramer,108-62-3,Active_ingredient_in_products; Pesticides
DTXSID1034840,Potassium peroxymonosulfate,10058-23-8,Active_ingredient_in_products; Pesticides; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1034896,Soap,68952-95-4,Active_ingredient_in_products; Pesticides; Household_care_and_cleaning_products
DTXSID1034923,Sodium tetrathiocarbamate,7345-69-9,Active_ingredient_in_products; Pesticides; Food
DTXSID1034925,"Potassium 2,4-hexadienoate",590-00-1,Active_ingredient_in_products; Pesticides; Human_food_from_animals; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1034929,Spiromesifen,283594-90-1,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID1034973,Tralkoxydim,87820-88-0,Active_ingredient_in_products; Pesticides; Food
DTXSID1035238,Bromine,7726-95-6,Active_ingredient_in_products; Pesticides; General_consumer_product
DTXSID1035286,(E)-11-Tetradecen-1-ol acetate,33189-72-9,Active_ingredient_in_products; Pesticides
DTXSID1035288,"8,10-Dodecadien-1-ol",33956-49-9,Active_ingredient_in_products; Pesticides
DTXSID1035783,S-Methoprene,65733-16-6,Active_ingredient_in_products; Pesticides; Food
DTXSID1035785,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (S-(E,E))-",65733-20-2,Active_ingredient_in_products; Pesticides
DTXSID1036541,Pregnenolone,145-13-1,Personal_care; Pharmaceutical
DTXSID1036753,Cinidon-ethyl,142891-20-1,Active_ingredient_in_products; Pesticides; Personal_care
DTXSID1036919,Methyl cellulose,9004-67-5,Human_food_from_animals; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use; Pharmaceutical
DTXSID1037010,Sodium hydrogen difluoride,1333-83-1,Active_ingredient_in_products; Pesticides
DTXSID1037199,Cerium trichloride,7790-86-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1037303,Perfluoroheptanoic acid,375-85-9,Household_care_and_cleaning_products; Home_maintenance_ and_building_materials; Bottled_and_finished_water_for_consumption; Occupational_products; General_consumer_product; Furniture; Substances_in_contact_with_food; Personal_care; Vehicles; Home_outdoor_cleaning
DTXSID1037484,Acetochlor OA,194992-44-4,Pesticides; Surface_water; Bottled_and_finished_water_for_consumption; Groundwater
DTXSID1037486,Alachlor OA,171262-17-2,Groundwater; Pesticides; Surface_water; Bottled_and_finished_water_for_consumption
DTXSID1037511,Chlormephos,24934-91-6,Active_ingredient_in_products; Pesticides
DTXSID1037515,Crufomate,299-86-5,Pesticides; Pharmaceutical
DTXSID1037563,Imidacloprid urea,120868-66-8,Food; Pesticides
DTXSID1037565,Mepronil,55814-41-0,Active_ingredient_in_products; Pesticides
DTXSID1037567,Metolachlor ESA,171118-09-5,Groundwater; Pesticides; Surface_water; Bottled_and_finished_water_for_consumption
DTXSID1037806,"6-Chloro-1,3,5-triazine-2,4-diamine",3397-62-4,Pesticides; Surface_water; Groundwater; Bottled_and_finished_water_for_consumption
DTXSID1038666,Chlorpyrifos oxon,5598-15-2,Food; Pesticides; Groundwater; Bottled_and_finished_water_for_consumption; Surface_water
DTXSID1038743,5-Methyl-1H-benzotriazole,136-85-6,Active_ingredient_in_products; Pesticides; Surface_water; Wastewater; Bottled_and_finished_water_for_consumption
DTXSID1038822,Neopentyl glycol dibenzoate,4196-89-8,Substances_in_contact_with_food; Product_manufacturing
DTXSID1040110,Ethyl propionate,105-37-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1040112,Ethyl heptanoate,106-30-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1040291,Furanace,13411-16-0,Active_ingredient_in_products; Pesticides; Pharmaceutical
DTXSID1040293,Methazole,20354-26-1,Active_ingredient_in_products; Pesticides
DTXSID1040295,Propamocarb,24579-73-5,Active_ingredient_in_products; Pesticides; Food
DTXSID1040297,Glyodin,556-22-9,Active_ingredient_in_products; Pesticides
DTXSID1040320,Bifenox,42576-02-3,Active_ingredient_in_products; Pesticides
DTXSID1040372,Epoxiconazole,133855-98-8,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption; Groundwater; Food; Crops_and_animal_feed
DTXSID1040374,Kasugamycin,6980-18-3,Active_ingredient_in_products; Pesticides
DTXSID1040451,Creatine,57-00-1,Children_products_and_toys; Personal_care; Pharmaceutical
DTXSID1040459,Bucladesine,362-74-3,Personal_care; Pharmaceutical
DTXSID1040611,Silwet L 77,27306-78-1,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1040619,Bexarotene,153559-49-0,General_consumer_product; Pharmaceutical
DTXSID1040661,Clofibric acid,882-09-7,Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID1040742,Triamcinolone,124-94-7,General_consumer_product; Pharmaceutical
DTXSID1040792,Pyridoxine hydrochloride,58-56-0,Food_supplement; Food_additive; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1040794,Sodium 2-phenylphenate tetrahydrate,6152-33-6,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1040798,Poly(lauryl methacrylate),25719-52-2,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1040829,Caseins,9000-71-9,Active_ingredient_in_products; Pesticides; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Food_supplement
DTXSID1041057,Latanoprost,130209-82-4,General_consumer_product; Pharmaceutical
DTXSID1041184,(-)-beta-Pinene,18172-67-3,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041213,1-(2-Butoxyethoxy)-2-propanol,124-16-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041217,"1,1,1-Trichloro-2-methyl-2-propanol",57-15-8,Pesticides; Pharmaceutical
DTXSID1041265,2-Hexyl-1-decanol,2425-77-6,Air_near_source; Electronics; Chemicals_that_emit_or_offgas; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041267,1-Ethoxy-2-propanol,1569-02-4,General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041269,(+)-Cedrol,77-53-2,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Artificial_liquids; Children_products_and_toys; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041340,"2,4,6-Triisopropylphenol",2934-07-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041346,"2,4-D-ethyl ester",533-23-3,Active_ingredient_in_products; Pesticides
DTXSID1041390,"2-Amino-3-chloro-1,4-naphthoquinone",2797-51-5,Active_ingredient_in_products; Pesticides
DTXSID1041392,"Sodium 1-amino-4-p-anisidino-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate",63589-10-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041421,"5,7-Dimethoxy-2H-chromen-2-one",487-06-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041425,(2E)-2-Hexenal,6728-26-3,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041475,"3,6-Dimethyl-4-octyne-3,6-diol",78-66-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041550,(S)-(-)-beta-Citronellol,7540-51-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041554,"7-Benzothiazolesulfonic acid, 2-[4-[[4-[[3-[[5-(aminocarbonyl)-1-ethyl-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridinyl]azo]-4-sulfophenyl]amino]-6-chloro-1,3,5-triazin-2-yl]amino]phenyl]-6-methyl-, disodium salt",85665-95-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041558,"9(or 10)?-?(sulfooxy)?-octadecanoic acid, sodium salt (1:1)",68964-56-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041635,C.I. Acid Violet 17,4129-84-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041637,"Benzenepropanenitrile, beta-hydroxy-beta-phenyl-",3531-23-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041639,Sodium m-xylene-4-sulfonate,827-21-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041681,Bromofenoxim,13181-17-4,Active_ingredient_in_products; Pesticides
DTXSID1041683,Bromofos,2104-96-3,Active_ingredient_in_products; Pesticides; Pharmaceutical
DTXSID1041710,"C.I. Acid Red 106, disodium salt",6844-74-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041712,"C.I. Acid Red 73, disodium salt",5413-75-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041714,"C.I. Acid Red 88, monosodium salt",1658-56-6,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041716,"C.I. Acid Violet 34, disodium salt",6408-63-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041718,Flavianic acid sodium salt,846-70-8,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041766,Chlorbenside,103-17-3,Active_ingredient_in_products; Pesticides
DTXSID1041841,Desmethylnorflurazon,23576-24-1,Groundwater; Pesticides
DTXSID1041843,"D-Glucopyranoside, hexyl",54549-24-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041845,Diafenthiuron,80060-09-9,Active_ingredient_in_products; Pesticides
DTXSID1041847,Dibutyl decanedioate,109-43-3,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID1041897,Dipyrithione,3696-28-4,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID1041899,Disodium endothal,129-67-9,Active_ingredient_in_products; Pesticides
DTXSID1041928,Ethoate-methyl,116-01-8,Active_ingredient_in_products; Pesticides
DTXSID1041970,Fenchol,1632-73-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1041976,Ferrous oxide,1345-25-1,Arts_and_crafts_or_office_supplies; General_consumer_product; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1041978,Flufenoxuron,101463-69-8,Active_ingredient_in_products; Pesticides
DTXSID1042075,Isopropylsulfamic acid,42065-76-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042077,Isoproturon,34123-59-6,Active_ingredient_in_products; Pesticides
DTXSID1042079,Isouron,55861-78-4,Active_ingredient_in_products; Pesticides
DTXSID1042100,Lithium neodecanoate,27253-30-1,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042108,Manganese carbonate (1:1),598-62-9,General_consumer_product; Food_supplement; Food_additive; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042152,Methyl methacrylate homopolymer,9011-14-7,Arts_and_crafts_or_office_supplies; Personal_care; Children_products_and_toys; Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042154,Methyl red,493-52-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042156,Methylparaben sodium,5026-62-0,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID1042158,Metoxuron,19937-59-8,Active_ingredient_in_products; Pesticides
DTXSID1042233,Dioctanoin,36354-80-0,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042235,Octyl D-glucopyranoside,41444-50-2,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042239,"N,N-Dimethyloctylamine N-oxide",2605-78-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042283,Phorate sulfoxide,2588-03-6,Food; Pesticides
DTXSID1042310,"Nonylphenol, ethoxylated, monoether with sulfuric acid, sodium salt",9014-90-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042314,Potassium decanoate,13040-18-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042318,Potassium myristate,13429-27-1,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1042364,Quinmerac,90717-03-6,Active_ingredient_in_products; Pesticides
DTXSID1042443,Terbufos sulfone,56070-16-7,Food; Pesticides; Bottled_and_finished_water_for_consumption
DTXSID1042445,Terbumeton,33693-04-8,Active_ingredient_in_products; Pesticides
DTXSID1042491,Triethoxypentylsilane,2761-24-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1042522,Uranium,7440-61-1,Arts_and_crafts_or_office_supplies; Bottled_and_finished_water_for_consumption
DTXSID1043883,Tetracaine,94-24-6,General_consumer_product; Pharmaceutical
DTXSID1043966,Prohexadione,88805-35-0,Active_ingredient_in_products; Pesticides
DTXSID1043968,Iodosulfuron-methyl,185119-76-0,Active_ingredient_in_products; Pesticides
DTXSID1044304,DL-Glutamine,6899-04-3,Personal_care; General_consumer_product
DTXSID1044435,Procaine hydrochloride,51-05-8,Active_ingredient_in_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1044487,Methyltrioctylammonium chloride,5137-55-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1044512,"2,5-Bis(tert-butylperoxy)-2,5-dimethyl-3-hexyne",1068-27-5,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID1044518,(-)-Isolongifolene,1135-66-6,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID1044560,"5-Bromo-5-nitro-1,3-dioxane",30007-47-7,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care
DTXSID1044562,D&C Red No. 33,3567-66-6,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Pharmaceutical
DTXSID1044641,Decyl alpha-D-Glucopyranoside,29781-81-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1044693,Magnesium dibenzoate,553-70-8,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID1044772,Citronellyl formate,105-85-1,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas
DTXSID1044803,Dodecamethylpentasiloxane,141-63-9,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID1044807,Dimethyl nonanedioate,1732-10-1,Active_ingredient_in_products; Substances_in_contact_with_food
DTXSID1045033,Minocycline,10118-90-8,General_consumer_product; Pharmaceutical
DTXSID1045039,Hexadecyl dihydrogen phosphate,3539-43-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID1045116,Domperidone,57808-66-9,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID1045118,"4,5-Diphenyl-2-Oxazolepropanoic acid",21256-18-8,General_consumer_product; Pharmaceutical
DTXSID1045166,Lidocaine,137-58-6,Active_ingredient_in_products; Personal_care; Surface_water; Groundwater; Pharmaceutical; Bottled_and_finished_water_for_consumption
DTXSID1045293,Benzydamine hydrochloride,132-69-4,General_consumer_product; Pharmaceutical
DTXSID1045297,Hexetidine,141-94-6,Active_ingredient_in_products; Personal_care; General_consumer_product; Pharmaceutical
DTXSID1045409,Tolfenamic acid,13710-19-5,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID1045534,Flunisolide,3385-03-3,General_consumer_product; Pharmaceutical
DTXSID1045536,Disopyramide,3737-09-5,General_consumer_product; Pharmaceutical
DTXSID1045619,Enrofloxacin,93106-60-6,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID1045825,Ephedrine hydrochloride,50-98-6,Active_ingredient_in_products; General_consumer_product
DTXSID1045871,Carprofen,53716-49-7,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID1045906,Ramifenazone,3615-24-5,Active_ingredient_in_products; Pharmaceutical
DTXSID1045950,Pregabalin,148553-50-8,Surface_water; Pharmaceutical
DTXSID1045956,Chlorophyllide Cu complex sodium salt,11006-34-1,Children_products_and_toys; Personal_care
DTXSID1046009,Coenzyme B12,13870-90-1,General_consumer_product; Pharmaceutical
DTXSID1046132,Risedronate sodium,115436-72-1,General_consumer_product; Pharmaceutical
DTXSID1046421,4-Hydroxyphenylsulfonic acid,98-67-9,Artificial_liquids; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID1046471,Ractopamine hydrochloride,90274-24-1,Active_ingredient_in_products; General_consumer_product
DTXSID1046556,Fluazuron,86811-58-7,Active_ingredient_in_products; Pharmaceutical
DTXSID1046922,Norgestimate,35189-28-7,General_consumer_product; Pharmaceutical
DTXSID1046978,"N-(Alkyl C10-C16)-N,N-dimethylglycine betaine",66455-29-6,Active_ingredient_in_products; Pesticides
